Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000476	8	0.727273
OG0000477	10	0.909091
OG0000478	1	0.0909091
OG0000479	10	0.909091
OG0000480	10	0.909091
OG0000481	10	0.909091
OG0000482	8	0.727273
OG0000483	10	0.909091
OG0000484	10	0.909091
OG0000485	7	0.636364
OG0000486	9	0.818182
OG0000487	10	0.909091
OG0000488	9	0.818182
OG0000489	10	0.909091
OG0000490	9	0.818182
OG0000491	10	0.909091
OG0000492	10	0.909091
OG0000493	9	0.818182
OG0000494	6	0.545455
OG0000495	3	0.272727
OG0000496	10	0.909091
OG0000497	10	0.909091
OG0000498	9	0.818182
OG0000499	10	0.909091
OG0000500	10	0.909091
OG0000501	10	0.909091
OG0000502	10	0.909091
OG0000503	8	0.727273
OG0000504	7	0.636364
OG0000505	10	0.909091
OG0000506	10	0.909091
OG0000507	10	0.909091
OG0000508	10	0.909091
OG0000509	5	0.454545
OG0000510	10	0.909091
OG0000511	5	0.454545
OG0000512	10	0.909091
OG0000513	10	0.909091
OG0000514	10	0.909091
OG0000515	3	0.272727
OG0000516	10	0.909091
OG0000517	10	0.909091
OG0000518	6	0.545455
OG0000519	9	0.818182
OG0000520	8	0.727273
OG0000521	10	0.909091
OG0000522	10	0.909091
OG0000523	10	0.909091
OG0000524	10	0.909091
OG0000525	9	0.818182
OG0000526	5	0.454545
OG0000527	10	0.909091
OG0000528	10	0.909091
OG0000529	10	0.909091
OG0000530	10	0.909091
OG0000531	10	0.909091
OG0000532	8	0.727273
OG0000533	10	0.909091
OG0000534	10	0.909091
OG0000535	10	0.909091
OG0000536	10	0.909091
OG0000537	5	0.454545
OG0000538	10	0.909091
OG0000539	9	0.818182
OG0000540	10	0.909091
OG0000541	3	0.272727
OG0000542	10	0.909091
OG0000543	10	0.909091
OG0000544	10	0.909091
OG0000545	9	0.818182
OG0000546	10	0.909091
OG0000547	10	0.909091
OG0000548	10	0.909091
OG0000549	10	0.909091
OG0000550	9	0.818182
OG0000551	10	0.909091
OG0000552	10	0.909091
OG0000553	10	0.909091
OG0000554	10	0.909091
OG0000555	10	0.909091
OG0000556	8	0.727273
OG0000557	10	0.909091
OG0000558	10	0.909091
OG0000559	10	0.909091
OG0000560	10	0.909091
OG0000561	10	0.909091
OG0000562	10	0.909091
OG0000563	10	0.909091
OG0000564	10	0.909091
OG0000565	10	0.909091
OG0000566	10	0.909091
OG0000567	10	0.909091
OG0000568	10	0.909091
OG0000569	10	0.909091
OG0000570	10	0.909091
OG0000571	8	0.727273
OG0000572	8	0.727273
OG0000573	10	0.909091
OG0000574	9	0.818182
OG0000575	10	0.909091
OG0000576	10	0.909091
OG0000577	10	0.909091
OG0000578	10	0.909091
OG0000579	10	0.909091
OG0000580	10	0.909091
OG0000581	10	0.909091
OG0000582	10	0.909091
OG0000583	4	0.363636
OG0000584	10	0.909091
OG0000585	9	0.818182
OG0000586	5	0.454545
OG0000587	10	0.909091
OG0000588	10	0.909091
OG0000589	10	0.909091
OG0000590	10	0.909091
OG0000591	9	0.818182
OG0000592	10	0.909091
OG0000593	10	0.909091
OG0000594	10	0.909091
OG0000595	10	0.909091
OG0000596	10	0.909091
OG0000597	10	0.909091
OG0000598	10	0.909091
OG0000599	10	0.909091
OG0000600	5	0.454545
OG0000601	10	0.909091
OG0000602	10	0.909091
OG0000603	10	0.909091
OG0000604	10	0.909091
OG0000605	10	0.909091
OG0000606	10	0.909091
OG0000607	10	0.909091
OG0000608	10	0.909091
OG0000609	10	0.909091
OG0000610	10	0.909091
OG0000611	9	0.818182
OG0000612	10	0.909091
OG0000613	10	0.909091
OG0000614	10	0.909091
OG0000615	10	0.909091
OG0000616	6	0.545455
OG0000617	10	0.909091
OG0000618	4	0.363636
OG0000619	8	0.727273
OG0000620	10	0.909091
OG0000621	10	0.909091
OG0000622	9	0.818182
OG0000623	10	0.909091
OG0000624	10	0.909091
OG0000625	10	0.909091
OG0000626	10	0.909091
OG0000627	10	0.909091
OG0000628	7	0.636364
OG0000629	10	0.909091
