Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000462	22	0.564103
OG0000463	22	0.564103
OG0000464	22	0.564103
OG0000465	22	0.564103
OG0000466	22	0.564103
OG0000467	22	0.564103
OG0000468	22	0.564103
OG0000469	22	0.564103
OG0000470	21	0.538462
OG0000471	22	0.564103
OG0000472	22	0.564103
OG0000473	22	0.564103
OG0000474	22	0.564103
OG0000475	22	0.564103
OG0000476	22	0.564103
OG0000477	22	0.564103
OG0000478	22	0.564103
OG0000479	22	0.564103
OG0000480	22	0.564103
OG0000481	22	0.564103
OG0000482	22	0.564103
OG0000483	22	0.564103
OG0000484	22	0.564103
OG0000485	22	0.564103
OG0000486	22	0.564103
OG0000487	22	0.564103
OG0000488	22	0.564103
OG0000489	22	0.564103
OG0000490	22	0.564103
OG0000491	22	0.564103
OG0000492	22	0.564103
OG0000493	21	0.538462
OG0000494	22	0.564103
OG0000495	22	0.564103
OG0000496	22	0.564103
OG0000497	18	0.461538
OG0000498	8	0.205128
OG0000499	21	0.538462
OG0000500	15	0.384615
OG0000501	21	0.538462
OG0000502	17	0.435897
OG0000503	21	0.538462
OG0000504	20	0.512821
OG0000505	21	0.538462
OG0000506	21	0.538462
OG0000507	21	0.538462
OG0000508	21	0.538462
OG0000509	21	0.538462
OG0000510	21	0.538462
OG0000511	21	0.538462
OG0000512	21	0.538462
OG0000513	21	0.538462
OG0000514	21	0.538462
OG0000515	17	0.435897
OG0000516	21	0.538462
OG0000517	21	0.538462
OG0000518	21	0.538462
OG0000519	21	0.538462
OG0000520	21	0.538462
OG0000521	21	0.538462
OG0000522	21	0.538462
OG0000523	21	0.538462
OG0000524	21	0.538462
OG0000525	19	0.487179
OG0000526	21	0.538462
OG0000527	21	0.538462
OG0000528	21	0.538462
OG0000529	21	0.538462
OG0000530	16	0.410256
OG0000531	21	0.538462
OG0000532	21	0.538462
OG0000533	21	0.538462
OG0000534	20	0.512821
OG0000535	21	0.538462
OG0000536	21	0.538462
OG0000537	21	0.538462
OG0000538	21	0.538462
OG0000539	21	0.538462
OG0000540	21	0.538462
OG0000541	21	0.538462
OG0000542	21	0.538462
OG0000543	21	0.538462
OG0000544	21	0.538462
OG0000545	20	0.512821
OG0000546	21	0.538462
OG0000547	21	0.538462
OG0000548	21	0.538462
OG0000549	21	0.538462
OG0000550	21	0.538462
OG0000551	20	0.512821
OG0000552	20	0.512821
OG0000553	20	0.512821
OG0000554	20	0.512821
OG0000555	20	0.512821
OG0000556	19	0.487179
OG0000557	20	0.512821
OG0000558	20	0.512821
OG0000559	20	0.512821
OG0000560	20	0.512821
OG0000561	17	0.435897
OG0000562	20	0.512821
OG0000563	20	0.512821
OG0000564	20	0.512821
OG0000565	20	0.512821
OG0000566	20	0.512821
OG0000567	19	0.487179
OG0000568	20	0.512821
OG0000569	20	0.512821
OG0000570	19	0.487179
OG0000571	20	0.512821
OG0000572	20	0.512821
OG0000573	20	0.512821
OG0000574	20	0.512821
OG0000575	20	0.512821
OG0000576	20	0.512821
OG0000577	19	0.487179
OG0000578	20	0.512821
OG0000579	20	0.512821
OG0000580	20	0.512821
OG0000581	20	0.512821
OG0000582	8	0.205128
OG0000583	20	0.512821
OG0000584	20	0.512821
OG0000585	20	0.512821
OG0000586	12	0.307692
OG0000587	20	0.512821
OG0000588	2	0.0512821
